phi_mid,ratio,n_pix,tracer,shell,r_sh
245.0,2.88707065972073,341,WISE W1,2,3.955
255.0,2.8817035908511706,338,WISE W1,2,3.955
265.0,2.768807468546876,344,WISE W1,2,3.955
275.0,3.355719879087435,341,WISE W1,2,3.955
285.0,3.9445886853794714,339,WISE W1,2,3.955
295.0,5.401042966231483,343,WISE W1,2,3.955
305.0,3.3690303245215683,336,WISE W1,2,3.955
315.0,2.7674642319112173,346,WISE W1,2,3.955
325.0,2.22361123196999,340,WISE W1,2,3.955
335.0,2.5108488530361868,340,WISE W1,2,3.955
345.0,3.0141696288176467,343,WISE W1,2,3.955
355.0,4.777572358075385,338,WISE W1,2,3.955
5.0,0.662816942687097,5902,THINGS NA,3,5.982
15.0,1.1025662173192465,5898,THINGS NA,3,5.982
25.0,1.0002327380880416,5896,THINGS NA,3,5.982
35.0,0.8523558745631665,5907,THINGS NA,3,5.982
45.0,1.416666254342208,5892,THINGS NA,3,5.982
55.0,1.0508185165973931,5891,THINGS NA,3,5.982
65.0,1.0304671909972405,5885,THINGS NA,3,5.982
75.0,1.0478221857441405,5886,THINGS NA,3,5.982
85.0,1.3138009606921741,5882,THINGS NA,3,5.982
95.0,1.6594610382858548,5881,THINGS NA,3,5.982
105.0,1.9869737400657415,5877,THINGS NA,3,5.982
115.0,1.2173322971193774,5875,THINGS NA,3,5.982
125.0,1.8921614036553387,5877,THINGS NA,3,5.982
135.0,2.098887758848861,5877,THINGS NA,3,5.982
145.0,1.2491331846562164,5870,THINGS NA,3,5.982
155.0,2.0003040870680544,5875,THINGS NA,3,5.982
165.0,1.3078414401700786,5878,THINGS NA,3,5.982
175.0,1.1250832241901356,5888,THINGS NA,3,5.982
185.0,1.4233125713053794,5865,THINGS NA,3,5.982
195.0,1.591381855326856,5873,THINGS NA,3,5.982
205.0,1.740869052615476,5885,THINGS NA,3,5.982
215.0,1.2149602349477335,5886,THINGS NA,3,5.982
225.0,1.287565233017456,5889,THINGS NA,3,5.982
235.0,1.0125835132917027,5888,THINGS NA,3,5.982
245.0,0.9076888858092311,5895,THINGS NA,3,5.982
255.0,0.9401577503747472,5897,THINGS NA,3,5.982
265.0,1.3652511706416068,5897,THINGS NA,3,5.982
275.0,1.476929297444495,5900,THINGS NA,3,5.982
285.0,0.6695625787442024,5905,THINGS NA,3,5.982
295.0,1.0923391656530534,5909,THINGS NA,3,5.982
305.0,1.763778874016848,5901,THINGS NA,3,5.982
315.0,1.5674236059911737,5907,THINGS NA,3,5.982
325.0,2.575668926771296,5907,THINGS NA,3,5.982
335.0,1.1192174477564016,5906,THINGS NA,3,5.982
345.0,1.2062503851030608,5906,THINGS NA,3,5.982
355.0,0.8540751153712395,5910,THINGS NA,3,5.982
5.0,0.6573143363273438,5902,THINGS RO,3,5.982
15.0,1.1244810096153222,5898,THINGS RO,3,5.982
25.0,0.9573599910258022,5859,THINGS RO,3,5.982
35.0,0.8521576872499892,5895,THINGS RO,3,5.982
45.0,1.4278917590354812,5892,THINGS RO,3,5.982
55.0,1.0345636097067357,5891,THINGS RO,3,5.982
65.0,1.022914410485462,5885,THINGS RO,3,5.982
75.0,1.0376634221584977,5886,THINGS RO,3,5.982
85.0,1.2944878053592495,5882,THINGS RO,3,5.982
95.0,1.6811177039449854,5881,THINGS RO,3,5.982
105.0,2.020776497020071,5877,THINGS RO,3,5.982
115.0,1.2008871038190925,5875,THINGS RO,3,5.982
125.0,1.9914454937984551,5877,THINGS RO,3,5.982
135.0,2.242977438041193,5877,THINGS RO,3,5.982
145.0,1.280782184082568,5806,THINGS RO,3,5.982
155.0,2.0211336102372357,5842,THINGS RO,3,5.982
165.0,1.3289307516677908,5849,THINGS RO,3,5.982
175.0,1.1003958959236289,5888,THINGS RO,3,5.982
185.0,1.3870772873624855,5865,THINGS RO,3,5.982
195.0,1.6321108240912996,5873,THINGS RO,3,5.982
205.0,1.8425118671198168,5885,THINGS RO,3,5.982
215.0,1.219759284546104,5886,THINGS RO,3,5.982
225.0,1.3234824666967882,5889,THINGS RO,3,5.982
235.0,1.0233250918025918,5888,THINGS RO,3,5.982
245.0,0.8846436037768503,5895,THINGS RO,3,5.982
255.0,0.8991257510224445,5897,THINGS RO,3,5.982
265.0,1.3218223739198813,5897,THINGS RO,3,5.982
275.0,1.5069670639150798,5900,THINGS RO,3,5.982
285.0,0.6629447625618742,5897,THINGS RO,3,5.982
295.0,1.0625472019300424,5909,THINGS RO,3,5.982
305.0,1.8475316910394606,5901,THINGS RO,3,5.982
315.0,1.6097180580331292,5907,THINGS RO,3,5.982
325.0,2.755005261169433,5901,THINGS RO,3,5.982
335.0,1.158938150744859,5865,THINGS RO,3,5.982
345.0,1.267805257769384,5906,THINGS RO,3,5.982
355.0,0.8227054455122477,5905,THINGS RO,3,5.982
5.0,0.7085698226843256,369,HALOGAS HR,3,5.982
15.0,1.1015838370284332,368,HALOGAS HR,3,5.982
25.0,1.0056492114658466,369,HALOGAS HR,3,5.982
35.0,0.8781220875510659,372,HALOGAS HR,3,5.982
45.0,1.4037291319955012,366,HALOGAS HR,3,5.982
55.0,1.1880072413855554,369,HALOGAS HR,3,5.982
65.0,1.0227782210196064,369,HALOGAS HR,3,5.982
75.0,1.0847868585444342,368,HALOGAS HR,3,5.982
85.0,1.3139974224609656,369,HALOGAS HR,3,5.982
95.0,1.6155235983285814,366,HALOGAS HR,3,5.982
105.0,1.9207341071166029,369,HALOGAS HR,3,5.982
115.0,1.1772157641552647,367,HALOGAS HR,3,5.982
125.0,1.8511692703257665,366,HALOGAS HR,3,5.982
135.0,2.102122997704554,367,HALOGAS HR,3,5.982
145.0,1.3461748651661303,371,HALOGAS HR,3,5.982
155.0,1.8119183252758475,366,HALOGAS HR,3,5.982
165.0,1.418274214545637,370,HALOGAS HR,3,5.982
175.0,1.135194757700971,365,HALOGAS HR,3,5.982
185.0,1.4952443241072932,372,HALOGAS HR,3,5.982
195.0,1.61434248079374,366,HALOGAS HR,3,5.982
205.0,1.6292178546907863,368,HALOGAS HR,3,5.982
215.0,1.2937212684987995,369,HALOGAS HR,3,5.982
225.0,1.3660613887814843,368,HALOGAS HR,3,5.982
235.0,1.039990089653134,368,HALOGAS HR,3,5.982
245.0,0.970679561030966,369,HALOGAS HR,3,5.982
255.0,0.9833659387007152,368,HALOGAS HR,3,5.982
265.0,1.3815614031450367,368,HALOGAS HR,3,5.982
275.0,1.5141685953602657,369,HALOGAS HR,3,5.982
285.0,0.7508905961401248,372,HALOGAS HR,3,5.982
295.0,1.15075518507433,367,HALOGAS HR,3,5.982
305.0,1.7133941064892828,371,HALOGAS HR,3,5.982
315.0,1.4457710772068093,368,HALOGAS HR,3,5.982
325.0,2.5420916378764957,372,HALOGAS HR,3,5.982
335.0,1.233785486044038,368,HALOGAS HR,3,5.982
345.0,1.150347478225417,370,HALOGAS HR,3,5.982
355.0,0.8262274499674834,367,HALOGAS HR,3,5.982
5.0,1.3263587887317254,780,WISE W1,3,5.982
15.0,2.245732898467443,784,WISE W1,3,5.982
25.0,2.9160309857743743,780,WISE W1,3,5.982
35.0,2.475985826877935,780,WISE W1,3,5.982
45.0,4.255960442272051,778,WISE W1,3,5.982
55.0,3.834822276405474,780,WISE W1,3,5.982
65.0,3.634661656439092,782,WISE W1,3,5.982
75.0,3.904323850340827,781,WISE W1,3,5.982
85.0,5.118625803405217,777,WISE W1,3,5.982
95.0,6.065794892227719,779,WISE W1,3,5.982
105.0,6.369934597330841,775,WISE W1,3,5.982
115.0,8.70342741911,778,WISE W1,3,5.982
125.0,5.486636773871593,770,WISE W1,3,5.982
