Galaxy,T,V_flat,n_pts,burk_chi2r,can_n,can_chi2r,can_bic,rel_n,rel_chi2r,rel_bic,dchi2r,dbic,dn,class,transition
NGC3726,5,168.0,12,2.4244369982813394,1,0.797975965532005,18.010365007664035,1,0.7979759651937943,18.010365005296563,3.382106816829378e-10,-2.367471552133793e-09,0,stable_adequate,1→1
NGC3769,3,118.6,11,0.6268876462766297,0,0.6268876462766297,10.43777936208641,0,0.6268876462766297,10.43777936208641,0.0,0.0,0,stable_adequate,0→0
NGC3877,5,168.4,11,0.788587511399875,0,0.788587511399875,11.893078148195617,0,0.788587511399875,11.893078148195617,0.0,0.0,0,stable_adequate,0→0
NGC3893,5,174.0,10,0.3533527681213128,0,0.3533527681213128,7.431992330958594,0,0.3533527681213128,7.431992330958594,0.0,0.0,0,stable_adequate,0→0
NGC3917,6,135.9,16,0.6372955518242344,0,0.6372955518242344,14.467315170018844,0,0.6372955518242344,14.467315170018844,0.0,0.0,0,stable_adequate,0→0
NGC3949,4,163.0,7,0.4180030899797516,0,0.4180030899797516,5.981835748009384,0,0.4180030899797516,5.981835748009384,0.0,0.0,0,stable_adequate,0→0
NGC3953,4,220.8,8,0.1839106516299225,0,0.1839106516299225,5.262346993139207,0,0.1839106516299225,5.262346993139207,0.0,0.0,0,stable_adequate,0→0
NGC3972,4,132.7,10,0.7862338533338925,0,0.7862338533338925,10.895041012659233,0,0.7862338533338925,10.895041012659233,0.0,0.0,0,stable_adequate,0→0
NGC3992,4,241.0,9,0.7099036110051599,0,0.7099036110051599,9.363774431708558,0,0.7099036110051599,9.363774431708558,0.0,0.0,0,stable_adequate,0→0
NGC4010,7,125.8,12,1.4599958639254491,1,0.1610094651476113,13.55159950497328,1,0.1610094651476105,13.551599504973275,8.049116928532385e-16,-5.329070518200751e-15,0,stable_adequate,1→1
NGC4013,3,172.9,36,1.806928856153034,1,0.7912757531792277,42.44714304083661,1,0.5766159078617312,35.792687835994215,0.2146598453174965,-6.654455204842392,0,stable_adequate,1→1
NGC4051,4,157.0,7,0.6194625493031014,0,0.6194625493031014,6.989133044626133,0,0.6194625493031014,6.989133044626133,0.0,0.0,0,stable_adequate,0→0
NGC4085,5,131.5,5,0.4212942008347935,0,0.4212942008347935,4.482758427372581,0,0.4212942008347935,4.482758427372581,0.0,0.0,0,stable_adequate,0→0
NGC4088,4,171.7,9,0.2419200220684502,0,0.2419200220684502,6.087889309151591,0,0.2419200220684502,6.087889309151591,0.0,0.0,0,stable_adequate,0→0
NGC4100,4,158.2,24,0.613494285442016,0,0.613494285442016,19.852981940420243,0,0.613494285442016,19.852981940420243,0.0,0.0,0,stable_adequate,0→0
NGC4157,3,184.7,15,0.2733955302362727,0,0.2733955302362727,8.970242295275966,0,0.2733955302362727,8.970242295275966,0.0,0.0,0,stable_adequate,0→0
NGC4183,6,110.6,23,0.3841658708842539,0,0.3841658708842539,14.338471720427632,0,0.3841658708842539,14.338471720427632,0.0,0.0,0,stable_adequate,0→0
NGC4217,3,181.3,11,0.6076829050035885,0,0.6076829050035885,10.264936690629035,0,0.6076829050035885,10.264936690629035,0.0,0.0,0,stable_adequate,0→0
NGC4559,6,121.2,32,0.2458308403489776,0,0.2458308403489776,14.306397016068782,0,0.2458308403489776,14.306397016068782,0.0,0.0,0,stable_adequate,0→0
NGC5005,4,262.2,13,0.0313240672515259,0,0.0313240672515259,5.474463454689858,0,0.0313240672515259,5.474463454689858,0.0,0.0,0,stable_adequate,0→0
NGC5033,5,194.2,20,2.4744468412494536,0,2.4744468412494536,50.53150768959814,2,1.4781192666014302,41.70328938764909,0.9963275746480234,-8.82821830194905,2,rescued,0→2
NGC5055,4,179.0,22,9.528895173612792,1,1.4641064759698024,40.34502235827822,2,0.5272244839933621,32.1094824027736,0.9368819919764403,-8.23553995550462,1,stable_adequate,1→2
NGC5371,4,209.5,19,12.259188740350686,2,1.3026272684542848,37.884411786328656,1,1.0214031058566244,29.021838377824945,0.28122416259766037,-8.86257340850371,-1,stable_adequate,2→1
NGC5585,7,90.3,24,5.171830416641091,2,3.683328031914358,84.3576791534133,2,3.6712867057890137,84.16501793540779,0.012041326125344476,-0.19266121800551161,0,still_failing,2→2
NGC5907,5,215.0,19,10.085109949760792,1,4.206683569487297,73.61576486865437,2,1.1734647377087706,36.463623948128,3.0332188317785267,-37.152140920526364,1,rescued,1→2
NGC5985,3,293.6,33,3.6096659806979,2,2.258179268929689,84.42654221497406,2,0.3778028838192117,37.41713258721214,1.8803763851104773,-47.009409627761926,0,rescued,2→2
NGC6015,6,154.1,44,15.756911447995137,2,0.8548008886282552,61.04634906196328,2,0.854800888628846,61.04634906198454,-5.907496714030458e-13,2.12665440812998e-11,0,stable_adequate,2→2
NGC6195,3,251.7,20,1.774728550453207,1,0.4164730721412688,21.225757449888988,1,0.4164730721412429,21.2257574498886,2.5868196473766147e-14,-3.872457909892546e-13,0,stable_adequate,1→1
NGC6503,6,116.3,31,2.546828660276091,1,0.8058832261180524,38.12289990149509,2,0.4222964254227874,37.18471542060528,0.383586800695265,-0.9381844808898094,1,stable_adequate,1→2
NGC6674,3,241.3,15,21.304336126194837,2,13.25257694445008,114.43244021996824,1,0.73858932912053,20.926144296716352,12.513987615329551,-93.50629592325188,-1,rescued,2→1
NGC6946,6,158.9,55,1.19283756343114,2,0.3819362374160507,50.00966864041415,2,0.3819362375093014,50.00966864479693,-9.325068495158462e-11,4.382783913570165e-09,0,stable_adequate,2→2
NGC7331,3,239.0,28,0.4697708682091291,0,0.4697708682091291,18.87845159378777,0,0.4697708682091291,18.87845159378777,0.0,0.0,0,stable_adequate,0→0
NGC7814,2,218.9,16,0.7093807791384282,1,0.0585223056695723,14.506688973564202,1,0.0585223056696581,14.506688973565144,-8.580636201571679e-14,9.414691248821327e-13,0,stable_adequate,1→1
UGC00128,8,129.3,22,7.203121559924765,1,2.710274544503655,61.52987952335371,2,1.6825459113558872,48.283982385848944,1.027728633147768,-13.24589713750477,1,still_failing,1→2
UGC01281,8,55.2,25,0.1688161095947725,0,0.1688161095947725,10.320522170416169,0,0.1688161095947725,10.320522170416169,0.0,0.0,0,stable_adequate,0→0
UGC02259,8,86.2,8,2.3073214199576104,1,0.3243394898908843,11.370226178071832,1,0.0485828999146405,10.542956408143102,0.2757565899762438,-0.8272697699287299,0,stable_adequate,1→1
UGC02885,5,289.5,19,4.426658548242126,1,0.8331392566381083,26.38614448876572,1,0.3567287479914825,19.71639736771296,0.47641050864662576,-6.669747121052758,0,stable_adequate,1→1
UGC02916,2,182.7,32,3.008459645320803,1,0.6332370872874699,34.42608087076032,1,0.6332370872663675,34.42608087019056,2.1102342095957738e-11,-5.697629035239515e-10,0,stable_adequate,1→1
UGC02953,2,264.9,106,10.79534480831212,2,2.2249991521539365,255.35742966398232,2,1.949388042049581,228.3475408737555,0.27561111010435546,-27.009888790226825,0,still_failing,2→2
UGC03205,2,219.6,46,7.579441456466734,1,0.9745266445246924,59.09879940795786,1,0.974526644524676,59.09879940795719,1.6431300764452317e-14,-6.750155989720952e-13,0,stable_adequate,1→1
UGC04278,7,91.4,25,0.6476730892961162,1,0.0442957912693467,16.980294949727938,1,0.0442957912693462,16.980294949727927,4.996003610813204e-16,-1.0658141036401503e-14,0,stable_adequate,1→1
UGC04325,9,90.9,8,0.4119312527240577,0,0.4119312527240577,6.630470599704017,0,0.4119312527240577,6.630470599704017,0.0,0.0,0,stable_adequate,0→0
UGC04499,8,72.8,9,0.2432267301303501,0,0.2432267301303501,6.09703626558489,0,0.2432267301303501,6.09703626558489,0.0,0.0,0,stable_adequate,0→0
