Galaxy,T,V_flat,n_pts,M_central_estimate,fw_best_n_shells,fw_best_bic,fw_best_chi2,fw_best_chi2_red,burk_rho0,burk_a_kpc,shell1_r_kpc,shell1_M,shell1_sigma_kpc,shell1_M_BH_single,shell1_decomp_n_BH,shell1_decomp_M_BH_each,shell1_decomp_central_ratio,shell1_decomp_acceptable,shell2_r_kpc,shell2_M,shell2_sigma_kpc,shell2_M_BH_single,shell2_decomp_n_BH,shell2_decomp_M_BH_each,shell2_decomp_central_ratio,shell2_decomp_acceptable
UGC02953,2,264.9,115,237007803.33688298,2,248.8855462882174,211.57803353532086,2.158959525870621,164428978.17746907,4.818222830375778,19.486419776900288,40344726744.27858,1.5641250777096969,223961045.24684036,5.0,44792209.04936807,0.188990440056104,False,59.83543570340491,759876024134.6921,19.138941935754787,78746439516273.94,5.0,15749287903254.787,66450.50366071172,False
UGC03205,2,219.6,48,103844692.8310385,1,59.09879940795723,39.95559242551175,0.9745266445246769,13229671.57768452,13.996851200960316,3.232552851134881,28303114098.34762,1.0199424738327922,47915813.55061232,5.0,9583162.710122464,0.09228360592018738,False,,,,,,,,
UGC03546,1,196.9,30,64251486.473384544,0,21.056799822433575,15.640699420229156,1.203130724633012,32923503.687019154,7.846937290405736,,,,,,,,,,,,,,,,
UGC03580,1,126.2,47,9075345.970662098,2,34.910717532015354,9.159710933069748,0.5388065254746911,232400.89238144076,136.5749463661084,7.3591895982664814,19593472030.36131,2.381517595217721,9675749.041116308,5.0,1935149.8082232617,0.21323151915960306,False,17.186908497847362,45514674230.59224,3.5030426813923583,378406648.34750456,5.0,75681329.66950092,8.339222539190926,False
UGC04278,7,91.4,25,2194650.103491329,1,16.980294949727895,0.8859158253868915,0.044295791269344575,75065926.6554167,1.3646282819399531,4.723313317694813,7282420058.222049,0.976408211283289,130586.8384940209,5.0,26117.36769880418,0.011900469991665516,False,,,,,,,,
UGC04325,9,90.9,8,2142313.945150023,0,6.630470599704663,2.471587516344991,0.4119312527241652,309718025.9940482,1.3598910830779254,,,,,,,,,,,,,,,,
UGC04499,8,72.8,9,806454.9233539199,0,6.097036265584903,1.702587110912464,0.24322673013035198,37702727.24366317,3.015720116637698,,,,,,,,,,,,,,,,
UGC05005,10,98.9,11,3105029.3641939084,0,4.913442690469214,0.11765214487247272,0.013072460541385857,6459717.238720737,10.641260164493604,,,,,,,,,,,,,,,,
UGC05253,2,213.7,73,92117453.99681506,2,69.75616115828484,35.43248562909771,0.5451151635245802,33117659.77559602,8.615830421318018,14.820569148933053,9443281928.165775,1.6830901876789508,404375.5207310772,1.0,404375.5207310772,0.004389781775178658,True,17.9040171101389,59675484473.97536,7.161606844055559,1229454321.244435,5.0,245890864.248887,2.6693189355557814,False
UGC05716,9,73.1,12,821180.2339575447,1,19.329613488528317,6.905080239588317,0.9864400342269024,24123082.120219745,3.9331219643012245,1.0012790290606925,383818409.9553717,0.16321830925431752,0.3597056326361315,1.0,0.3597056326361315,4.380349377171302e-07,True,,,,,,,,
