Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
NGC2403,6,131.2,3.5207170509813612,1465.9901926819693,1457.4092737996725,20.52689118027708,91038880.28076781,88.78420667474677,54.460531145559635,0.8378543253163021,2,1465.9901926819693,1457.4092737996725,20.52689118027708,832691149.839686,191.92452377646123,170.47222657071927,2.5069445083929303,0.8209093343107584,0.3236428298390487,1417950651.3159757,8885728313.117601,88.78420667474677,54.460531145559635,0.8378543253163021,1.0237879030177162,4.361971841165067,0.40409799048314954,1.195253230410734,True,11.77714600176746,9.70074697141346,0,73,73,344.5280342527302,335.94711537043344,4.731649512259626,12.983260317450569,7834262.39851956,0.03736804213107092,0.1621104294511013
NGC2683,3,154.0,5.2514391370937705,11.311240399235832,6.5154498536390895,0.7239388726265655,55686456.94531134,11.311240399235832,6.5154498536390895,0.7239388726265655,0,11.311240399235832,6.5154498536390895,0.7239388726265655,37322153142.693886,17.350364179931614,5.360887815939761,0.8934813026566268,7.027337021104212,2.7901532108377793,10433830053.090431,19513385988.606182,24.371666494749935,5.188504312362969,1.7295014374543232,3.337398048863904,8.16512036593749,0.776111351515904,0.7455495960683762,True,11.985906659157925,10.604307070617006,0,11,11,13.25121536071493,8.455424815118189,0.9394916461242432,10.232819077287507,14223194.548898187,1.0,0.7705644596341925
NGC2841,3,284.8,6.650344760074279,346.97308339707314,339.14903738621683,7.065604945546184,132648048.69302507,152.83970259030724,133.2795875631665,2.961768612514811,1,346.97308339707314,339.14903738621683,7.065604945546184,49999999999.99966,152.83970259030724,133.2795875631665,2.961768612514811,3.893644399765435,1.3849697023423964,17789009798.94772,17796515012.79377,204.47334143914048,173.1771573957153,4.123265652278936,0.9999999999999777,1.2629282702470448,0.24999999999999442,0.11237957179034705,True,12.78696445154299,10.97340728300738,0,50,50,161.61587783581035,153.79183182495407,3.2039964963532097,13.164603179647639,31583746.138430305,0.3929823554574625,0.8666233179071915
NGC2903,4,184.6,7.808711763503413,80.676665590721,74.2389139409846,3.2277788669993304,33439742.35528487,32.69740819502603,16.60302907068503,0.8301514535342515,1,80.676665590721,74.2389139409846,3.2277788669993304,21048208101.07335,32.69740819502603,16.60302907068503,0.8301514535342515,7.545141076076255,1.7646955940198261,15478352173.254759,7697814720.037275,39.12282340675335,13.371816807807742,0.7865774592828083,8.50179451025327,5.9396596423487695,1.5900069085613249,0.7798529095145247,False,12.222039586718214,10.612057660349793,9,34,25,182.27851542698107,175.84076377724466,7.645250599010637,24.09546139454611,4143723.912282255,0.22364321067362894,0.09442081980329527
NGC2976,5,85.4,3.3148266973941665,12.067090959510526,5.710983298814634,0.25959014994611973,83707766.50453162,12.067090959510526,5.710983298814634,0.25959014994611973,0,12.067090959510526,5.710983298814634,0.25959014994611973,101075893.31597082,20.01738691842467,4.1271177666849415,0.21721672456236535,1.159833615456679,0.011598446652725091,1455566139.3608289,549406876.4640054,30.156877671557705,4.732447028774139,0.2957779392983837,1.4681289210601303,1.9482840457731114,0.48198967449363145,0.01948534695686722,False,11.21771810871555,9.226728756856993,3,27,24,39.02724912622004,32.67114146552415,1.4850518847965524,499.99999999913337,89780.11788829906,1.0,0.17480207432731065
NGC2998,5,209.9,9.835266954168961,66.2497740286352,61.11987531371212,5.556352301246556,26182816.225747526,19.354809467576082,6.5300626802684,0.81625783503355,1,66.2497740286352,61.11987531371212,5.556352301246556,17442252635.864376,19.354809467576082,6.5300626802684,0.81625783503355,2.1507447947796448,0.8602979179118578,13611512818.63134,2449443798.705013,23.798785565253333,3.279190705561037,0.6558381411122074,2.3855818097646777,0.4442066150482797,0.5672390782842637,0.1485474532805969,True,12.389381812395737,10.877665000130216,0,13,13,32.144814533475106,27.01491581855203,2.4559014380501845,17.210709298745957,8510254.259274911,0.10684024872026192,0.2417206377442787
NGC3109,9,66.2,4.607228112228792,9.832580316343298,3.394828666606897,0.14760124637421293,21663270.734931294,9.832580316343298,3.394828666606897,0.14760124637421293,0,9.832580316343298,3.394828666606897,0.14760124637421293,350904071.18123966,18.37351954986691,2.2791404255259065,0.11395702127629533,2.1940354311322583,0.7210683694342382,70395195.40145405,131931262.48328103,27.394408924769067,1.643402325823464,0.09667072504843906,1.620827506859027,2.7170010787206964,0.18111203960865957,1.0314194674100752,True,10.885918464967634,7.986771734266245,0,25,25,157.33926382888424,150.90151217914783,6.560935312136862,499.9999999925728,42748.79852863655,1.0,0.02249698241974283
NGC3198,5,150.1,6.696269232646883,75.30719108070785,67.92943217247998,1.7876166361178942,34345557.705943584,43.98299262381188,14.471956990900392,0.45224865596563724,2,75.30719108070785,67.92943217247998,1.7876166361178942,2938036887.6469774,53.36709205320379,34.92269478263411,0.9977912795038317,2.7024593524232716,0.6671018498334409,4970481889.622948,31947487935.44635,43.98299262381188,14.471956990900392,0.45224865596563724,3.182812552864819,8.923057973226909,0.9432075822250765,3.380651937269471,False,11.952486573378346,10.281930588086734,3,43,40,58.32570275415799,50.94794384593011,1.3407353643665818,16.183444641012805,5793936.957600827,0.21304398591400808,0.28405379880814285
NGC3521,4,213.7,9.50345802551216,18.9752155570779,11.597456648850025,0.3051962276013165,29849733.029921915,18.9752155570779,11.597456648850025,0.3051962276013165,0,18.9752155570779,11.597456648850025,0.3051962276013165,1155079211.9532766,22.441052739574875,3.996655469005195,0.11419015625729129,0.9830665988636422,0.325721511943909,1673872867.07469,16095155035.478283,31.006277368080564,1.4952417351690754,0.04672630422403361,1.1491150634528668,6.258580356015056,0.41804571980415056,0.9582307951571991,False,12.412758063140744,10.627550187767522,1,41,40,16.507203907777043,9.129444999549172,0.24024855261971503,499.9999999999935,131663.7455480612,1.0,1.2703353434324571
NGC3726,5,168.0,12.75952305283469,29.214183282389396,24.244369982813396,2.4244369982813394,9191219.288853958,18.010365007664035,5.585831758724035,0.797975965532005,1,29.214183282389396,24.244369982813396,2.4244369982813394,17698064637.38286,18.010365007664035,5.585831758724035,0.797975965532005,7.265234271032598,1.3441672950743637,6150505501.204333,11052515956.263567,24.94380590132086,5.064552703016857,1.2661381757542143,8.036429552177047,6.651388908511899,0.08529379632707362,1.58579214443122,True,12.099272341826122,10.545517407601492,0,12,12,25.395363638961236,20.425550339385236,2.0425550339385237,141.01767770992316,219466.8177252358,0.23039706796603823,0.2734727665062344
