HostName,RAJ2000,DEJ2000,amaj,bmin,PA,Dist,T-Type,2SXPSNAME,Favg2SXPS,Fpeak2SXPS,2SXPSSep,4XMMName,Fpeak4XMM,4XMMSep,CSC2Name,FpeakCSC2,CSC2Sep,RABdeg,DEBdeg,SepS-X,SepX-C,SepS-C
ESO474-016,10.719642,-23.5408493,0.691783189485888,0.30758843635493405,120.38999938964844,95.27962,-2.2,,,,,,,,2CXO J004254.2-233235,7.03938327734e-15,22.2940538000962,10.7259317434821,-23.5431078908341,,,
NGC0224,10.6846845,41.2689778,88.91397050194615,34.83132570553845,35.0,0.7656,3.0,2SXPS J004545.5+413941,6.864e-11,6.8639e-11,2479.397119603814,,,,,,,11.43997,41.66142,,,
NGC0247,11.7857175,-20.7604499,9.839431448534226,2.773128564789554,167.44000244140625,3.5156,6.9,,,,,4XMM J004703.8-204743,7.72812e-13,142.4823062799937,,,,11.7661604923803,-20.7955512941367,,,
NGC0253,11.888,-25.28822222222,13.395841624095159,2.290709433572667,52.47999954223633,3.56451,5.1,,,,,4XMM J004709.1-252123,8.8539e-13,407.68458076520955,,,,11.7880597750671,-25.3565136900711,,,
NGC0253,11.888,-25.28822222222,13.395841624095159,2.290709433572667,52.47999954223633,3.56451,5.1,2SXPS J004717.3-251805,1.277e-13,1.2489e-12,219.10421175298703,4XMM J004717.5-251812,7.77831e-13,218.0319715348715,,,,11.8231770210565,-25.3034941688859,7.792598959137413,,
NGC0253,11.888,-25.28822222222,13.395841624095159,2.290709433572667,52.47999954223633,3.56451,5.1,2SXPS J004722.4-252042,6.495e-13,1.2074e-12,250.9976165306943,4XMM J004722.6-252050,1.25757e-12,256.317474349659,,,,11.8442182007508,-25.3474086881464,8.487825243205705,,
NGC0253,11.888,-25.28822222222,13.395841624095159,2.290709433572667,52.47999954223633,3.56451,5.1,2SXPS J004732.7-251748,0.0,4.2947e-12,31.67746884265002,4XMM J004732.9-251749,2.20567e-12,31.641477482006984,,,,11.8873737156818,-25.2969932624255,2.5285506548174674,,
NGC0253,11.888,-25.28822222222,13.395841624095159,2.290709433572667,52.48,3.56451,5.1,2SXPS J004735.1-251503,5.876e-13,9.5155e-13,136.8223832374417,,,,,,,11.89633,-25.25097,,,
NGC0255,11.9471085,-11.4687138,1.020868972334766,0.926765811707406,,21.84741,4.1,,,,,,,,2CXO J004744.9-112754,2.68709423046e-14,36.86827860461799,11.9373367725016,-11.4650848715625,,,
NGC0266,12.449091,32.2776927,1.4189595142207798,1.370787085963944,,68.83352,1.6,,,,,,,,2CXO J004943.2+321706,2.58552302488e-15,63.76480849807206,12.430037786102,32.2850584744284,,,
